ID,Original Title,Broadcast first title,Broadcast second title,Category ,Format,Type,Genre,Season n°,Episodes n°,Part n°,program duration,short synopsis,long synopsis,Casting,Tags,Year,Rights owner,Production Country,Language (original),Subtitles,Subtitles files,Norm,Image format,Preview,English Script,Additional Script,Notes/Other,,,,,,,,,,,,
WLC000001,TERRA MAGICA,TERRA MAGICA,,ACQUISITIONS,FILM,SINGLE UNIT,VINES & VINEYARDS,,,,0:49:00,"The vineyards stretch from the Italian side of Collio across to Goriška Brda in Slovenia. Collio and Brda are synonyms and together they represent one of the best wine regions for white wines. Terra Magica is the story of one region in two countries where wine is bold, strong and full of character !","One region in two countries sets the stage for a story of incredible people and their love for the sun and earth that gives birth to wine. In a fairytale region in western Slovenia, just next to the Italian border, wine has been cultivated even long before the Romans. Many empires have claimed the region in its turbulent past, but the inhabitants have remained strong willed, stubborn and resolute on surviving on their land. Even the two great wars that ravaged the land did not break their will. In West Primorska (Slovenia) wine transcends politics. The vineyards stretch from the Italian side of Collio across to Goriška Brda in Slovenia without regard to political and state differences. Collio and Brda are synonyms and together they represent one of the best wine regions for white wines. Our story is of one region in two countries. It talks of a small but dedicated group of people who inherited the fertile land from their fathers and through hard work revived the traditional and natural methods of winemaking. Their wine is bold, strong and full of character, just like themselves.",,,2016,FILM IT,SLOVENIA,SLOVENIAN,,,PAL,HD,,YES,,,,,,,,,,,,,,
WLC000057,The Season at Terroir, Season at Terroir,Dancing Team,ACQUISITIONS,MAGAZINE,TV SERIES,GASTRONOMY & FOOD PAIRING,1,1,,1:00:00,"Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants. Michael pushes his young chefs and trainees to greater heights. In the first episode, the kitchen becomes a display of a well-practiced dance. ","Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants, tucked away in the famous Cape wine lands on the Kleine Zalze wine estate. Michael pushes his young chefs and trainees to greater heights. Self-taught Chef Michael Broughton believes that a large part of being creative is about exercising constraint and keeping it simple, all the while still delivering dishes that are characterized by bold, punchy flavors that remain true to the original ingredients. In the first episode, the kitchen becomes a display of a well-practiced dance. ",Michael Broughton,"Michael Brughton, Cooking, Terroir, South Africa, Restaurant, Top Three, Kitchen, Display, Famous, Care Wine Lands, Kleine Zalze, Wine Estate, Young Chef, Chef Michael Brughton, Creativity, Stellenbosch, Anooshka, Risotto, Terrine, ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000058,The Season at Terroir, Season at Terroir,Under Pressure,ACQUISITIONS,MAGAZINE,TV SERIES,GASTRONOMY & FOOD PAIRING,1,2,,1:00:00,"Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants. In this second episode, team is under pressure as Fifteen of South Africa’s top food journalists have been invited to a special tasting.","Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants, tucked away in the famous Cape wine lands on the Kleine Zalze wine estate. Michael pushes his young chefs and trainees to greater heights. In this episode, autumn has arrived and there’s less than a week to go to an event that will put Terroir and Chef Michael Broughton in the media’s spotlight. Fifteen of South Africa’s top food journalists have been invited to a special tasting luncheon to showcase Broughton’s take on autumn’s flavours. Can the kitchen brigade handle this added pressure and please the palates of the media’s critics?",Michael Broughton,"Michael Brughton, Cooking, terroir, South Africa, Restaurant, Top Three, Famous, Care Wine Lands, Autumn, ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000059,The Season at Terroir, Season at Terroir,Food Pairing Challenge,ACQUISITIONS,MAGAZINE,TV SERIES,GASTRONOMY & FOOD PAIRING,1,3,,1:00:00,"Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants. In this third episode, the team celebrates the alchemy of food and wine.","Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants, tucked away in the famous Cape wine lands on the Kleine Zalze wine estate. Michael pushes his young chefs and trainees to greater heights. The autumn weather sees invitations extended to friends and fellow wine makers who have supported Terroir and the Kleine Zalze Wine Estate over the years. Michael has only three days to create three new dishes and this doesn’t leave a lot of time for trial and error. While it’s one thing winning over customers and tourists, it’s a completely different story to impress some of the area’s best winemakers who are renowned for their exceptional pallets. Michael wants to give the winemaker’s table a memorable five-course meal to celebrate the alchemy of food and wine. ",Michael Broughton,"Michael Brughton, Cooking, Terroir, South Africa, Restaurant, Top Three, Autumn, Kleine Zalza, Celebrate, ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000060,The Season at Terroir, Season at Terroir,The Cook-off Compétition,ACQUISITIONS,MAGAZINE,TV SERIES,GASTRONOMY & FOOD PAIRING,1,4,,1:00:00,"Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants. In this episode, the team competes to get a dish of their own creation on Terroir’s award winning menu.","Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants, tucked away in the famous Cape wine lands on the Kleine Zalze wine estate. Michael pushes his young chefs and trainees to greater heights. It’s winter and as an exercise to keep his kitchen brigade occupied in the week before their holiday, Michael lays down a challenge for his team – a chance to get a dish of their own creation on Terroir’s award winning menu. Michael knows the best way to keep his staff engaged is to call on their natural creative spirit and so he devises a cook-off competition and divides the young chefs into two teams. It’s a big deal for a group of chefs this young, who would never normally have such a chance, and a great opportunity for them to bring their own ideas to the table. 

",Michael Broughton,"Michael Brughton, Cooking, Terroir, South Africa, Restaurant, Top Three, Famous, Care Wine Lands,  ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000061,The Season at Terroir, Season at Terroir,The Wine Ambassador's dinner,ACQUISITIONS,MAGAZINE,TV SERIES,GASTRONOMY & FOOD PAIRING,1,5,,1:00:00,"Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants. In this episode, the team have been invited to have a stand alongside the Kleine Zalze tasting stall.","Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir. The latter welcomes you to one of South Africa’s top three restaurants, tucked away in the famous Cape wine lands on the Kleine Zalze wine estate. Michael pushes his young chefs and trainees to greater heights. Chef Michael Broughton and his team have been on a brief winter break, but it’s the start of the new restaurant calendar and it coincides with the annual Stellenbosch wine festival. Terroir have been invited to have a stand alongside the Kleine Zalze tasting stall, where they will serve their specialities. For Michael, this is a great opportunity to reach an unprecedented number of people, which means there’s no room for error. But there’s another important event on his calendar: he has to work out a 6-course winter tasting menu (paired with Kleine Zalze wines) for their wine ambassadors as a reward for all their hard work. ",Michael Broughton,"Michael Brughton, Cooking, Terroir, South Africa, Restaurant, Top Three, Famous, Care Wine Lands, Stellenbosch Wine Festival, Winter, Tasting, Menu, ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000062,The Season at Terroir, Season at Terroir,The Anniversary Celebration,ACQUISITIONS,MAGAZINE,TV SERIES,GASTRONOMY & FOOD PAIRING,1,6,,1:00:00,"Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants. In this episode, Kleine Zalze wine estate is celebrating its 15th anniversary celebrations. ","Join acclaimed chef Michael Broughton for a year of seasonally inspired cooking at his world-famous restaurant Terroir, one of South Africa’s top three restaurants, tucked away in the famous Cape wine lands on the Kleine Zalze wine estate. Michael pushes his young chefs and trainees to greater heights. Our year with Terroir has almost come full circle and Kleine Zalze Wine Estate is gearing up to celebrate their 15th anniversary celebrations. This two-day celebration is arguably Terroir’s biggest function to date and there’s major preparation and extensive planning needed to make sure it’s a success. Chef Michael Broughton is designing 8 courses of tasting plates to give people the opportunity to taste the entire spring menu in one night. This means he not only has to create the new spring menu, but he also has to focus it into a taster menu for 120 plus guests taking part in the festivities! 

",Michael Broughton,"Michael Brughton, Cooking, Terroir, South Africa, Restaurant, Top Three, Famous, Care Wine Lands, Anniversary Celebration, Spring, Menu, Guests, Festivities. ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000063,The Spirits Of Asia,Spirits  Of Asia,Gin in The Philippines ,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,1,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s go to The Philippines for its gin.","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, Paul Foster journeys to family-owned backyard distillery in the Philippines, where tree-climbers traverse a network of high bamboo bridges to collect nectar which is distilled to make a mellow, sweet, and yet fiery spirit known as lambanog. Whilst Lambanog plays a key role in Tagayan rituals, it is also a key ingredient in upmarket cocktails in Manila. The future of Lambanog is a fusion of tradition and modernity ",Paul Foster,"Paul Fester, Tv Presenter, Actor, Traveller, Exotic World, Asia, Asian Alcohol production, Whiskey, India, Ice Wine, China, Philippines, Distillery, Tagayan Rituals, Cocktails, Manila, Distillery, Tagayan Rituals,Cocktails, Manila, Lambanog, Tradition, Modernity, Pacific Ring Of Fire, Coconut Voska, Manila, Tayabas City, Quezon Province, liquor, Tayabas, Caspitrano Distillery, Panghawan, Pangharit, Rice, Quezon Province, Manila, Legazpi Village, The Curator, Paddycab, Calamansi, The Tribute, ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000064,The Spirits Of Asia,Spirits  Of Asia,Whiskey in India,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,2,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s to India for its Whiskey.

","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. On a journey filled with unexpected discoveries, join Paul Foster as he learns about whiskey in India. At the Armut Distillery he learns about the full brewing process before participating in whiskey appreciation and discovering how whiskey is unconventionally paired with traditional food. He ends his time in India sharing a bottle with a group of women - proving that females too, are actively involved in whiskey appreciation. ",Paul Foster,"Paul Fester, Tv Presenter, Actor, Traveller, Exotic Wrld, Asia, Asian Alcohol Production, Whiskey, India, Ice Wine, China, Arnut Distellery, Whiskey Appreciation, Traditionnal Food, Scotland, Golden Liquis, South Asia, Bengaluru, Karnataka, Bangalore, Capital Of Karnataka, Solicon Valley, Bengaluru, Pub Capital Of India, Vittal Mallya Road, Single Malt Amateur Club, Hementh Rao, Rums, Vodka, Glenmorangie, Chilli Paneer, SMAC, Leela Palace Engaluru, Royal Palace Of Mysore, Sandeep Arora, New Delhi, Talisker, Skye Region, Scotland, Lamb Briyani, Girvan, Balvenie, Armut Fusion, Indian Whiskey, Armut Fusion Single Malt, District of Rajajinagar, Sanskrit, Neelakanta Rao R Jagdale, Punjab, Rajasthan, Haryana, Barley, Cultivation, Uttar Pradesh, Rajasthan, Bangalore, Scottish Barley, Himalaya, Chocolat, Vanilla, Jim Murray, Glasgow, The Pot Still Bar, Ken Storrie, Lowland, Speyside, Café India, Sandeep, ",2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000065,The Spirits Of Asia,Spirits  Of Asia,Ice Wine in China,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,3,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s go to China for its ice wine.","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, Paul Foster proves that Asia can compete internationally for the production of high quality ice wine. He travels to remote Liaoning Province in the far north east of China, where the country’s oldest winery, Chateau Changyu, is known as the Golden Ice Wine Valley of the country. In the dead of winter at -20 degrees celsius and 380 metres high, Paul learns from the farmers how timing and temperature are crucial to the delicate distilling of ice wine. ",Paul Foster,,2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
