文件名,编号,原始标题,视频分类,内容版式,作者,版权所有人,节目时间,介绍,标签,年份,月份,产品国家,语言,制式,图像格式,备注其他
Filename,ID,Original Title,Category,Type,Author,Rights Owner,Program Duration,Synopsis,Tags,Year,Month,Production Country,Language,Norm,Image format,Notes/Other
DEEP01.mp4,1,历史慕尼黑　童话之地的国王和公主,世界之窗,video,Deep Magazine,DEEP,0:16:51,"                     遥远的海滨送来海鸥的问候，
                        飞到了雄鹰的巢穴。
               它轻轻地扇动着翅膀，唤起了古老的回忆。",历史  慕尼黑　国王　公主,2017,6月份,中国,中文,PAL,HD,无
DEEP02.mp4,2,艺术慕尼黑　从宁芬堡到歌剧院,世界之窗,video,Deep Magazine,DEEP,0:15:08,"            严肃认真并不等于刻板，德国人对于音乐、绘画……
        一切艺术的热爱体现在实际中。在对潮流音乐喜欢的同时，",艺术　慕尼黑　歌剧院,2017,6月份,中国,中文,PAL,HD,无
DEEP03.mp4,3,思考慕尼黑　废墟里建成的反思型都市,世界之窗,video,Deep Magazine,DEEP,0:17:02,"                     恢复集中营和建立纪念馆，
            是现在德国人勇于面对历史和过错的心态体现。",慕尼黑　反思型都市,2017,6月份,中国,中文,PAL,HD,无
DEEP04.mp4,4,精神慕尼黑　炸不断的心灵信仰,世界之窗,video,Deep Magazine,DEEP,0:09:09,"        战争炸毁的老彼得教堂被重新修建，建筑是表象，
      修复的更是德国人的内心。人们在这个现实社会中都很仓促，
                    生活走得很快，心灵跟不上了。",慕尼黑　心灵信仰,2017,6月份,中国,中文,PAL,HD,无
DEEP05.mp4,5,工业慕尼黑　注入心灵的工业灵魂,世界之窗,video,Deep Magazine,DEEP,0:08:37,"       “任何一个不想看到创意枯竭的人都会爱上这个建筑造型”
      卡尔·施瓦泽坚守的理念，使得1971年设计的建筑至今依旧前卫。",慕尼黑　工业,2017,6月份,中国,中文,PAL,HD,无
DEEP06.mp4,6,生活慕尼黑　离不开的啤酒和足球,世界之窗,video,Deep Magazine,DEEP,0:17:05,"                慕尼黑享有“世界啤酒冠军”的称号。
         据说平均每人每年要喝230升。慕尼黑还有一所啤酒大学，
                 专为各国培养酿造学硕士和学士。
           啤酒节上600多万游客按至少要消耗掉1亿升的啤酒。",慕尼黑　生活　啤酒　足球,2017,6月份,中国,中文,PAL,HD,无
DEEP07.mp4,7,[森林园丁]陆地巨无霸的生存智慧,植物探秘,video,Deep Magazine,DEEP,0:11:47,"牙走私、贩卖的巨额利润，
引起非洲草原上盗猎者对大象的杀戮。",植物探秘　森林园丁,2017,6月份,中国,中文,PAL,HD,无
DEEP08.mp4,8,[疯狂杀戮]为了获取象牙偷猎猖獗,动物世界,video,Deep Magazine,DEEP,0:10:34,"非洲，这片动荡的大陆，
叛乱分子和武装人员都看到了象牙能带来的巨大财富，",动物探索　疯狂杀戮  象牙,2017,6月份,中国,中文,PAL,HD,无
DEEP09.mp4,9,[走私贩卖]血腥贸易下的利益链条,动物世界,video,Deep Magazine,DEEP,0:09:44,"只要有市场，杀戮就将永无止尽。
国际象牙贸易被禁止已长达25年，大象偷猎却愈演愈烈。",动物探索 走私贩卖　利益链条,2017,6月份,中国,中文,PAL,HD,无
