文件名,编号,原始标题,视频分类,内容版式,作者,版权所有人,节目时间,介绍,标签,年份,月份,产品国家,语言,制式,图像格式,备注其他
Filename,ID,Original Title,Category,Type,Author,Rights Owner,Program Duration,Synopsis,Tags,Year,Month,Production Country,Language,Norm,Image format,Notes/Other
DEEP01.mp4,1,历史慕尼黑　童话之地的国王和公主,历史考古,video,Deep Magazine,DEEP,0:16:51,"它是德国经济最好的地方，
更是一座充满浓重历史气息的城市。
在德国诸多城市中，中国人似乎对它印象最深：
从茜茜公主到拜仁慕尼黑，
从啤酒节到宝马汽车，
从领袖建筑到集中营……
一系列的名字带来了巨大的吸引力。
慕尼黑到底什么样？真正的慕尼黑人的生活是什么？
他们又有着怎样的精神领域呢？",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP02.mp4,2,艺术慕尼黑　从宁芬堡到歌剧院,历史考古,video,Deep Magazine,DEEP,0:15:08,"它是德国经济最好的地方，
更是一座充满浓重历史气息的城市。
在德国诸多城市中，中国人似乎对它印象最深：
从茜茜公主到拜仁慕尼黑，
从啤酒节到宝马汽车，
从领袖建筑到集中营……
一系列的名字带来了巨大的吸引力。
慕尼黑到底什么样？真正的慕尼黑人的生活是什么？
他们又有着怎样的精神领域呢？",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP03.mp4,3,思考慕尼黑　废墟里建成的反思型都市,世界之窗,video,Deep Magazine,DEEP,0:17:02,"它是德国经济最好的地方，
更是一座充满浓重历史气息的城市。
在德国诸多城市中，中国人似乎对它印象最深：
从茜茜公主到拜仁慕尼黑，
从啤酒节到宝马汽车，
从领袖建筑到集中营……
一系列的名字带来了巨大的吸引力。
慕尼黑到底什么样？真正的慕尼黑人的生活是什么？
他们又有着怎样的精神领域呢？",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP04.mp4,4,精神慕尼黑　炸不断的心灵信仰,世界之窗,video,Deep Magazine,DEEP,0:09:09,"它是德国经济最好的地方，
更是一座充满浓重历史气息的城市。
在德国诸多城市中，中国人似乎对它印象最深：
从茜茜公主到拜仁慕尼黑，
从啤酒节到宝马汽车，
从领袖建筑到集中营……
一系列的名字带来了巨大的吸引力。
慕尼黑到底什么样？真正的慕尼黑人的生活是什么？
他们又有着怎样的精神领域呢？",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP05.mp4,5,工业慕尼黑　注入心灵的工业灵魂,世界之窗,video,Deep Magazine,DEEP,0:08:37,"它是德国经济最好的地方，
更是一座充满浓重历史气息的城市。
在德国诸多城市中，中国人似乎对它印象最深：
从茜茜公主到拜仁慕尼黑，
从啤酒节到宝马汽车，
从领袖建筑到集中营……
一系列的名字带来了巨大的吸引力。
慕尼黑到底什么样？真正的慕尼黑人的生活是什么？
他们又有着怎样的精神领域呢？",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP06.mp4,6,生活慕尼黑　离不开的啤酒和足球,世界之窗,video,Deep Magazine,DEEP,0:17:05,"它是德国经济最好的地方，
更是一座充满浓重历史气息的城市。
在德国诸多城市中，中国人似乎对它印象最深：
从茜茜公主到拜仁慕尼黑，
从啤酒节到宝马汽车，
从领袖建筑到集中营……
一系列的名字带来了巨大的吸引力。
慕尼黑到底什么样？真正的慕尼黑人的生活是什么？
他们又有着怎样的精神领域呢？",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP07.mp4,7,[森林园丁]陆地巨无霸的生存智慧,植物探秘,video,Deep Magazine,DEEP,0:11:47,"牙走私、贩卖的巨额利润，
引起非洲草原上盗猎者对大象的杀戮。
数以吨计的象牙藏在走私者的暗箱里，
经历偷运、闯关、贩卖，大部分落入亚洲市场；
滴血的象牙经过雕刻被人收藏，促使象牙市场不停运转。
中国已成为全球第一大非法象牙消费市场。
现在非洲象已不足40万头，
如果趋势持续，将会在10年到20年内灭绝。
只要人们停止购买象牙制品，
这个血腥的利益链条就会顷刻断裂。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP08.mp4,8,[疯狂杀戮]为了获取象牙偷猎猖獗,动物世界,video,Deep Magazine,DEEP,0:10:34,"牙走私、贩卖的巨额利润，
引起非洲草原上盗猎者对大象的杀戮。
数以吨计的象牙藏在走私者的暗箱里，
经历偷运、闯关、贩卖，大部分落入亚洲市场；
滴血的象牙经过雕刻被人收藏，促使象牙市场不停运转。
中国已成为全球第一大非法象牙消费市场。
现在非洲象已不足40万头，
如果趋势持续，将会在10年到20年内灭绝。
只要人们停止购买象牙制品，
这个血腥的利益链条就会顷刻断裂。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP09.mp4,9,[走私贩卖]血腥贸易下的利益链条,动物世界,video,Deep Magazine,DEEP,0:09:44,"牙走私、贩卖的巨额利润，
引起非洲草原上盗猎者对大象的杀戮。
数以吨计的象牙藏在走私者的暗箱里，
经历偷运、闯关、贩卖，大部分落入亚洲市场；
滴血的象牙经过雕刻被人收藏，促使象牙市场不停运转。
中国已成为全球第一大非法象牙消费市场。
现在非洲象已不足40万头，
如果趋势持续，将会在10年到20年内灭绝。
只要人们停止购买象牙制品，
这个血腥的利益链条就会顷刻断裂。",纪实,2017,6月份,中国,中文,PAL,HD,无
