文件名,编号,原始标题,视频分类,内容版式,作者,版权所有人,节目时间,介绍,标签,年份,月份,产品国家,语言,制式,图像格式,备注其他
Filename,ID,Original Title,Category,Type,Author,Rights Owner,Program Duration,Synopsis,Tags,years,month,Production Country,Language,Norm,Image format,Notes/Other
1川东小剧团顽强烧的艺术火种.mp4,1,川东小剧团顽强烧的艺术火种,民族民俗,video,deep magazine,DEEP,0:08:42,"川剧是我国戏曲宝库中的一颗光彩照人的明珠。
它历史悠久，保存了很多优秀的剧目、丰富的乐曲和精湛的表演艺术。
作为川剧的传承与传播者，
四川南部县的一家川剧团
在传统与现实之间坚守着一片文化的精神家园。
在城镇化带来的现代娱乐浪潮的冲击下，
他们的明天会怎样呢？",文化　艺术　川东,2017,7月份,中国,中文,PAL,HD,无
2古典民谣－传统的中东集市.mp4,2,古典民谣-传统的中东集市,世界之窗,video,deep magazine,DEEP,0:09:03,"1850年建成的香料市场里，各家小店井然地将货品摆出，
兜售着香料、编织地毯、银器锡器……
或许只有在这些老店铺里才能找回些许原始中东风味。",古典　民谣　中东集市,2017,7月份,中国,中文,PAL,HD,无
3海洋1－惊艳绝伦的海洋生物深海魅影.mp4,3,海洋1—惊艳绝伦的海洋生物深海魅影,动物世界,video,deep magazine,DEEP,0:10:55,"蔚蓝的深海，梦幻美丽，神秘莫测，人类从未停止过探索的脚步。
浩瀚的海洋是孕育地球生命的摇篮，哺育着形形色色的海洋生物。
海洋，是世界上最伟大的生态系统，不断上演着精彩刺激的水下大戏。
今天，随着科技的进步，人们能潜入深海将这个奇妙的世界呈现给大众。",探索　海洋　生物,2017,7月份,中国,中文,PAL,HD,无
4海洋2－生态之魅－水下生物惊艳绝伦.mp4,4,    海洋2—生态之魅-水下生物惊艳绝伦,    动物世界,  video,deep magazine,DEEP,      0:08:40,"海洋，是世界上最伟大的生态系统，千百年来一直在和谐运转。
通过“海洋生物大普查”，科学家每年都会发现数以千计的海洋动物新品种。
沿海城市化的影响、过度捕捞和栖息地的丧失，是对海洋生态物种的主要威胁",探索　海洋　生物,2017,  7月份,中国,中文,PAL,HD,无
5迁徙的鸟1－大雁和天鹅汇成的春潮.mp4,5,     迁徙的鸟1-大雁和天鹅汇成的春潮,    动物世界,  video,deep magazine,DEEP,      0:12:30,"辽河流域，是全球著名的鸟类迁徙通道，是诸多候鸟的生命舞台。
这里是坐标，是航向，是中途的休息站，是营养的补给地，是栖息繁衍的家园
成千上万的候鸟按照自然更替的规律，持续着它们亘古以来南迁北归的约定。
2013年和2014年，我们连续两年追踪辽河流域候鸟迁徙的春潮。
拍摄了鸟类的狂欢之舞和高超的捕食技巧，记录下候鸟迁徙路上的""步步惊心""",动物 探索　迁徙的鸟,2017,  7月份,中国,中文,PAL,HD,无
6迁徙的鸟2－停歇加油白鹤和白琵鹭的庇护所.mp4,6, 迁徙的鸟2-停歇加油白鹤和白琵鹭的庇护所,    动物世界,  video,deep magazine,DEEP,      0:09:22,"候鸟迁徙的距离远近不一，近的只有几公里，远的则可飞翔上万公里。
例如，北极的燕鸥在北极繁殖，飞往南极过冬，迁徙路途达2万公里。
飞行能力再强的鸟类也需要停下来休息补给，因此停歇地的选择就显得尤为重要",动物 探索　迁徙的鸟,2017,  7月份,中国,中文,PAL,HD,无
7土耳其1－DEEP专用土耳其荣耀之光穿越千年.mp4,7, 土耳其1-土耳其荣耀之光穿越千年,    历史考古,  video,deep magazine,DEEP,      0:13:54,"这块神奇的土地是连接东西方的纽带，
太阳自亚洲升起，从欧洲落下。
这里是人类文明发祥的中心地之一，
留下了罗马帝国和拜占庭帝国的辉煌，
无处不在闪耀着昔日奥斯曼帝国雄霸欧亚非的荣耀之光。
穿越千年历史的土耳其今天以兼容并蓄之势，
汇集古今文明，交织东西文化，在昔日荣耀下正焕发新的光芒。",历史　纪实  土耳其  荣耀,2017,  7月份,中国,中文,PAL,HD,无
8土耳其2－博斯普鲁斯海峡亚欧大陆的纽带.mp4,8,  土耳其2-博斯普鲁斯海峡亚欧大陆的纽带,    历史考古,  video,deep magazine,DEEP,      0:07:13,"博斯普鲁斯海峡上，
来自全世界的游客乘船穿梭其间，
不知不觉中来回欧洲和亚洲数个回合。
此时，已经说不清你是在欧洲还是亚洲。",历史　纪实  土耳其  纽带,2017,  7月份,中国,中文,PAL,HD,无
9土耳其3－以弗所古城“土耳其的庞贝”.mp4,9,   土耳其3-以弗所古城“土耳其的庞贝”,    历史考古,  video,deep magazine,DEEP,      0:11:17,"曾经熙熙攘攘的市集、车水马龙的街道、
纸醉金迷的妓院、气势恢宏的图书馆，
还有座无虚席大剧场……
一切都随时间消逝，今日所见只有断壁残垣。",历史　纪实  土耳其  古城,2017,  7月份,中国,中文,PAL,HD,无
10土耳其4－卡帕多奇亚地球上的类月貌.mp4,10,   土耳其4-卡帕多奇亚地球上的类月貌,    历史考古,  video,deep magazine,DEEP,      0:08:18,"火山爆发以及上百万年来的雨水冲刷成就了
卡帕多奇亚的类月地貌，
先民们利用这特有地质结构所开凿的洞穴和
地下城市，更使这里成了谜一样的地方。",历史　纪实  土耳其  卡帕多奇亚,2017,  7月份,中国,中文,PAL,HD,无
11耶路撒冷01－圣墓里的奇珍异宝.mp4,11,     耶路撒冷01—圣墓里的奇珍异宝,    历史考古,  video,deep magazine,DEEP,      0:10:47,"耶路撒冷，被基督教、犹太教、伊斯兰教三大教共同视为圣城。
圣墓大教堂，是基督教的圣地，是耶稣遇难、安葬和复活之地。
欧洲各国宫廷捐赠的奇珍异宝在圣墓中深藏数百年，世人一直未能目睹其芳容
今天，圣堂开启这座“世界最不同寻常的宝库”，去享受一场朝圣赏宝的盛宴",纪实  耶路撒冷  圣墓　奇珍异宝,2017,  7月份,中国,中文,PAL,HD,无
12耶路撒冷02－圣墓神韵与奇珍异宝.mp4,12,    耶路撒冷02—圣墓神韵与奇珍异宝,    历史考古,  video,deep magazine,DEEP,      0:10:52,"人们这次见到了250多件珍宝：
纯银打造的圣殿灯、
华丽的银制祭盘、
雕饰繁复的烛台、
纯银圣礼十字架……
在一件件富有古老的光泽
但仍焕发着生命活力的圣器中，
当年的匠人倾注了毕生的心血。",纪实  耶路撒冷  圣墓　奇珍异宝,2017,  7月份,中国,中文,PAL,HD,无
13耶路撒冷03－圣墓珍宝的守护者.mp4,13,     耶路撒冷03—圣墓珍宝的守护者,    历史考古,  video,deep magazine,DEEP,      0:08:41,"700多年以来，
方济各会的修士们
守卫着耶路撒冷的圣墓大教堂，
管理着世界王室进贡的珍宝，
接待朝圣的众人。
让他们觉得骄傲与自豪的，
并不是对珍宝的看管，
而是能够为教会和当地群众服务。",纪实  耶路撒冷  圣墓　奇珍异宝,2017,  7月份,中国,中文,PAL,HD,无
14渔业1－中国近海渔业资源危机海枯食难.mp4,14, 渔业1—中国近海渔业资源危机海枯食难,    特别专题,  video,deep magazine,DEEP,      0:13:09,"近年来，中国渔船频频被扣。
但渔民们还是要铤而走险驾船前往，皆因中国近海已无鱼可捕。
中国的海岸线早已不堪重负，过度捕捞、超标排放、围海养殖、工业占海……
使得鱼儿越来越少，鱼苗难以长大，大海富庶的时代已渐渐远去。
东海，曾经的世界四大渔场之一，77万多平方公里，沪、浙、闽、台4省市与之濒临。
这里延续了上千年的捕鱼方式正面临无鱼可捕的窘迫。
农民失地有补偿，渔民失海又将如何？该怎样拯救渔业资源枯竭的危局？",专题　纪实  渔业　资源　危机,2017,  7月份,中国,中文,PAL,HD,无
15渔业2－【远去的渔村】资源耗尽无奈逃离.mp4,15,渔业2—【远去的渔村】资源耗尽无奈逃离,    特别专题,  video,deep magazine,DEEP,      0:10:18,"近海无鱼的现状，使渔民生存空间日益被压缩。
他们开始合资造大船，去更远的海域。
这看似是受逐水草而居的生存法则驱使，追随鱼群去过更好的日子，
但那只是一种表象，实质是资源耗尽后无奈的逃离。",专题　纪实　渔业　资源　逃离,2017,  7月份,中国,中文,PAL,HD,无
